"L","R","F","M","C"
19.8,24,30,26872,0.740485636
41.8,5,20,28441,0.699573503
97.63,344,23,35610,0.558649256
44.4,155,28,24584,0.809152294
46.53,148,31,32141,0.618900159
98.27,9,19,31176,0.638050423
111.5,14,24,30568,0.65072854
19.93,30,13,22648,0.878169375
19.87,172,16,24343,0.816997905
78.83,297,4,20793,0.956457943
49.73,137,20,27730,0.717073206
19.3,74,15,24379,0.815537143
41.4,332,9,16968,1.171608322
41.33,64,21,26121,0.761042073
15.2,27,11,23150,0.858666523
50.3,106,22,25918,0.766914885
75.83,8,16,23687,0.839081353
103.93,19,4,18865,1.053529817
85.8,4,25,35542,0.559191942
21.27,1,26,25592,0.776598937
80.3,105,20,26424,0.752120799
34.7,69,6,21918,0.906666667
83.6,122,17,25754,0.77161606
24.4,2,31,29319,0.677707971
98.4,74,16,30855,0.643806514
61.83,4,15,28162,0.705357574
28.23,41,6,31001,0.640742879
31.6,2,15,23444,0.847279474
13.73,3,18,30892,0.642972291
17.97,29,10,33260,0.597194227
26.43,4,32,27776,0.714990279
39.83,163,18,22064,0.900044869
108.07,60,19,28658,0.692949613
87.07,10,10,14496,1.369922047
56.47,1,17,23682,0.838512795
32.87,3,21,25478,0.779382212
85.6,94,20,23939,0.829373407
84.83,11,26,29639,0.669862344
19.1,114,10,24052,0.82540454
15.63,44,14,31111,0.638112886
81.57,27,19,25235,0.786691104
54.17,13,13,29135,0.681346147
95.13,99,16,33070,0.600271243
41.77,343,14,25561,0.776605375
78.83,222,9,14413,1.377242767
33.17,19,23,29055,0.683190845
89.23,4,23,41668,0.476375876
47.67,73,26,24837,0.799031687
27.67,9,18,22592,0.878423778
60.13,18,24,28137,0.705284501
28.53,7,18,23844,0.832211038
75.63,175,26,26015,0.762756871
33.1,236,21,31570,0.628467849
38.7,10,25,26036,0.762004532
51.3,9,21,31812,0.623630077
97.67,37,11,14199,1.397046271
16.1,49,12,13794,1.438062201
28.83,101,20,34764,0.570589978
14.17,375,4,26840,0.738934426
21.6,295,10,27930,0.71
22.37,90,18,28049,0.706985989
96.5,156,19,29215,0.678755434
92.67,4,29,25200,0.786894444
107,7,23,31789,0.623664161
32.77,74,15,29363,0.67514457
90.53,31,16,25879,0.765934155
114.07,4,25,24718,0.80189538
95.07,114,12,23667,0.837499472
32.9,75,18,29167,0.67950972
20.23,26,9,26037,0.761111111
45.73,9,14,21480,0.922564711
12.9,3,7,26946,0.735404884
35.57,346,21,27468,0.721428571
80.77,15,17,22842,0.867524735
91.1,132,2,24464,0.81
45.77,241,2,24464,0.81
24.97,32,16,23803,0.832490442
84.57,70,15,26529,0.746823099
60.33,135,22,28579,0.693248539
13.17,2,23,24983,0.792990834
22.07,156,27,28892,0.685497716
15.27,11,15,26516,0.746901116
22.9,47,13,24591,0.805280387
19.73,342,5,27854,0.710890716
65.17,20,28,28360,0.698205571
72.3,7,13,24593,0.805125849
76.9,10,12,34705,0.57043135
43.37,63,18,28664,0.690610173
95.97,5,22,30171,0.656101223
39,12,25,32012,0.618362489
24.97,37,29,32772,0.603989076
17.17,10,25,31712,0.624130613
65.13,13,20,30803,0.642536766
112.2,14,16,23249,0.851301561
67.07,21,21,23456,0.843749147
53.03,2,22,27216,0.727084436
78.83,71,26,25526,0.775212724
20.43,68,30,26164,0.756295673
69.13,129,24,31215,0.6339103
94.57,111,18,28291,0.699380368
82.77,22,40,25770,0.767769887
36.37,10,15,30875,0.64078413
39.67,195,22,28554,0.692854591
41.33,137,15,25551,0.774145043
96.57,71,22,27983,0.706856663
109.83,159,24,32316,0.612049449
113.27,15,8,13688,1.444979544
69.17,59,51,20829,0.949529982
67.23,47,27,26257,0.753107743
20.63,27,29,24926,0.793300971
24.1,254,15,24625,0.802994924
19.53,29,13,21025,0.940419501
16.4,9,19,25515,0.774922986
39.6,57,21,32098,0.615987289
36.33,43,19,27483,0.719383983
19.17,444,5,24043,0.822305869
84.73,5,33,29663,0.666497657
84.6,59,19,26056,0.758700875
76.2,97,7,13769,1.435714286
84.93,26,21,30136,0.655914853
34.07,21,19,31104,0.635484504
70.3,8,18,27318,0.723516729
36.87,431,19,29123,0.678633726
51.67,37,9,25966,0.7610533
44.03,135,5,26432,0.747590799
49.63,112,17,27330,0.72292865
104.53,153,14,22646,0.872450764
70,261,3,25659,0.77
77,13,37,32589,0.60625886
36.07,116,12,24292,0.813270624
67.4,28,18,41012,0.481688286
27.9,32,24,27206,0.72604499
44.73,195,19,24473,0.807080047
86.47,46,22,25062,0.788100311
41.9,11,17,29173,0.677036301
33.1,95,17,39466,0.500412254
101.37,80,14,20315,0.972011322
94.57,16,15,23665,0.834357067
51.63,249,11,13655,1.445872574
79.23,180,15,27933,0.706788744
42.1,101,12,25097,0.786588437
86.3,8,29,28508,0.692441069
17.13,11,15,24706,0.798976767
12.2,19,12,34072,0.579331709
55.57,15,16,21464,0.919535967
17.17,49,13,22604,0.873111396
108.6,66,14,24416,0.80826712
22.37,5,17,21816,0.90457875
65.93,32,12,17050,1.157414663
73.47,1,34,26120,0.755464012
38.4,15,17,24214,0.814916577
45.9,84,17,24349,0.810394267
13.17,26,8,29663,0.665208172
50.9,174,15,29035,0.679578784
87.83,100,20,24882,0.793001366
25.27,326,12,25344,0.778413037
24.9,19,32,28373,0.695256053
65.6,101,23,31189,0.632444772
41.67,251,13,26874,0.73396331
49.43,102,17,29323,0.672611943
49.17,42,21,27476,0.717819188
20.53,45,21,22992,0.857709203
25.6,154,23,22749,0.86686184
31.4,59,14,26200,0.75264313
23.77,24,23,23888,0.825441226
27.97,4,24,27201,0.724862321
111.43,41,15,26092,0.755440748
51.37,156,20,26832,0.734532648
21.87,11,44,23646,0.833284699
71.8,84,19,28243,0.697607195
29.33,50,12,28615,0.688496243
25.6,33,23,30115,0.65419824
103.07,100,13,17497,1.125726124
35.3,27,3,22814,0.863340931
48.53,3,12,33572,0.586671333
65.3,22,17,26566,0.7412979
68.27,198,14,24424,0.806227891
97.33,51,10,25424,0.774424559
39.07,117,16,28905,0.681155509
102,14,17,25155,0.782655138
70.6,23,21,23170,0.849696159
70.6,108,29,29553,0.666150983
31.97,113,14,17828,1.104104779
32.17,100,20,28952,0.679864603
48.6,92,14,28394,0.693224625
22.23,482,3,30282,0.65
52.37,10,27,37614,0.523076248
71.3,52,13,21714,0.906089159
26.57,47,23,31509,0.624418103
20.57,17,11,19156,1.027048966
41.8,78,30,42304,0.465040658
32.83,8,20,22018,0.893482605
75.13,7,27,31942,0.615814288
75.57,22,18,32111,0.612549594
24.37,200,4,23163,0.849179726
36.07,169,21,23544,0.835255267
21.87,18,27,24275,0.810096807
16.9,25,23,23043,0.85329905
84.07,49,11,19583,1.003925854
101.77,6,16,14103,1.393965114
63.37,80,18,27643,0.711044387
86.63,130,19,27100,0.725285609
83.23,189,16,22426,0.876433604
107.77,29,17,25669,0.765665978
65.87,12,18,25693,0.764930137
54.83,196,13,27455,0.715799308
26.73,110,16,24543,0.800682068
51.5,100,4,18435,1.065931109
36.63,23,17,27738,0.708192732
21.87,349,15,26545,0.739945376
46.83,4,30,27097,0.724818984
109.13,16,25,23496,0.835886534
87.03,50,18,29718,0.660831146
78.73,22,20,18369,1.069060373
91.77,5,21,30560,0.642512107
113.53,36,12,34944,0.561876145
30.7,1,30,26662,0.736236591
36.97,49,12,23484,0.835786493
36.83,44,17,24266,0.808814803
78.07,67,11,27821,0.705401675
79.77,124,22,25822,0.759941135
30.63,66,21,27372,0.716906693
91.33,47,22,30935,0.634333279
87.53,64,24,24996,0.784981197
47.33,34,18,23499,0.834968722
44.97,4,16,29677,0.66100246
52.93,37,8,14839,1.321874116
85.37,136,19,32668,0.600438043
19.73,28,10,24650,0.795668154
41.87,1,39,22464,0.873042646
60.7,7,15,27163,0.721961124
29.27,34,17,28734,0.682453887
48.97,24,22,28255,0.693950097
77.8,44,11,29332,0.668308332
35.9,112,19,26257,0.74656663
35.67,60,24,28008,0.699870751
100.97,30,25,26930,0.727877831
42.73,139,17,25882,0.757240167
91.17,6,24,30525,0.642009173
29.33,56,13,24042,0.815125614
47.73,135,21,26805,0.731083007
91.23,38,8,25388,0.771730739
75.37,18,19,23653,0.828333827
108.2,46,8,33299,0.588320971
50.27,164,5,16286,1.202879774
20.4,5,7,23493,0.833863278
57.77,82,26,26360,0.743145675
23.53,47,19,31006,0.631695478
14.8,66,24,26925,0.727254596
72.17,12,29,29660,0.660151382
80.07,1,23,33366,0.58678535
83.93,169,18,21190,0.923908919
42.23,26,14,26089,0.750414734
77.83,27,17,26550,0.737334463
85.3,99,22,27314,0.716695101
15.93,23,14,23833,0.821334704
41.63,185,20,28641,0.683442966
67.97,3,28,31244,0.626433235
86.5,282,12,13922,1.405849016
36.93,190,13,23349,0.838205491
67.6,581,2,24464,0.8
46.63,258,2,24464,0.8
20.33,605,2,24464,0.8
20.23,240,4,27244,0.718367347
82.5,611,2,24464,0.8
23.93,469,2,24464,0.8
33.67,217,16,32770,0.597206286
91.47,8,15,31690,0.6175497
18.87,94,8,25284,0.774003322
48.57,163,21,23275,0.840796992
97.23,203,11,28863,0.677946506
99.23,6,12,42325,0.462283757
76.27,1,20,23761,0.823328143
72.7,157,13,27452,0.712612196
37.03,123,22,26148,0.748043827
53.53,12,27,29696,0.658656048
43.67,186,8,17352,1.127143845
25.27,7,24,28825,0.678514831
107.33,33,23,27487,0.71147779
34,308,9,13187,1.482937742
78.4,15,26,30493,0.641273735
105.03,89,20,30136,0.648810393
92.83,17,26,30465,0.641727884
22.6,29,8,24909,0.78486531
79.27,162,22,22045,0.88683012
71.9,50,27,28105,0.695499022
62.1,197,11,17869,1.093798198
85.87,204,19,31598,0.618551174
22.5,349,14,24790,0.788321904
83.83,12,19,24509,0.797339345
36.67,148,29,27806,0.702776379
52.07,4,21,24588,0.794742151
37.23,148,16,29628,0.659541987
114.5,98,22,22940,0.851798605
105.03,343,7,13145,1.486504374
41.8,25,13,25437,0.768122027
12.47,19,21,29238,0.668259457
20.3,61,14,22774,0.857827347
35.23,36,10,20018,0.975912179
49.6,100,21,29444,0.663374881
109.93,12,22,30824,0.633649753
33.67,494,19,29130,0.670480604
37.5,75,25,35911,0.543871794
21.5,250,20,26064,0.749285605
20.4,83,6,26939,0.724876944
27.5,6,20,34282,0.569610291
36.77,63,19,23849,0.81872741
18.17,23,26,29401,0.664103602
110.6,22,30,40361,0.483746438
64,74,27,26119,0.74751407
17.5,264,6,30598,0.63808811
71.2,34,14,13132,1.48665626
60.9,20,19,21567,0.90520332
47.3,137,20,26481,0.737208187
40.33,167,13,26013,0.750467074
14.7,16,26,28331,0.688989799
93.03,12,27,24938,0.782627717
87.63,50,10,27254,0.715967931
61.67,487,6,27602,0.706923411
50.03,23,20,29424,0.663143013
26.77,128,19,20402,0.95635624
92.9,18,23,21330,0.914700422
62.27,5,21,24667,0.790876475
14.87,130,10,26430,0.738
85.67,57,31,27376,0.71246822
22.33,48,15,20442,0.954104784
88.6,33,18,25614,0.761423831
19.07,243,15,23617,0.825653978
78.3,47,25,29115,0.669720076
39.37,1,20,26616,0.732589044
46.57,19,10,31513,0.61862882
46.8,31,20,30892,0.630992814
48.37,145,9,29041,0.671183155
72.17,166,14,20516,0.949966855
91.6,72,26,22002,0.885743114
71.7,43,30,22249,0.875897344
85.2,5,29,24842,0.784453345
61.1,79,20,30640,0.635904047
35.77,163,13,22694,0.858552921
26.07,6,22,27586,0.706278185
22.23,40,22,24322,0.801059123
36.63,7,34,29195,0.667349204
81.3,40,32,43399,0.448917717
64.37,302,15,23952,0.813393454
71.43,7,13,25727,0.7572352
68.73,83,18,28488,0.683790017
23.7,145,17,24032,0.810577147
25.87,33,30,29333,0.664045273
52.7,159,20,23789,0.818800286
20.2,81,15,26652,0.730780429
23.53,42,12,26184,0.743764895
49.7,13,25,32105,0.606581218
16.8,114,22,37838,0.514668059
44.17,1,47,27260,0.714255319
104.17,6,14,24206,0.804285714
40.73,111,18,25378,0.767097486
52.83,110,25,24660,0.789413625
28.67,10,22,24290,0.801362289
112.2,96,15,28726,0.677606698
111.6,11,20,26008,0.748345894
84.4,57,16,26472,0.735202478
23.07,173,16,32101,0.60627644
46.6,3,17,26010,0.748235294
54.83,233,8,13133,1.481757405
17.93,28,12,27864,0.698333333
37.53,83,26,23472,0.828998381
16.27,2,19,27402,0.710078826
49.67,22,7,23317,0.834419093
16.3,20,22,30209,0.643981926
39.17,160,16,31472,0.618125
55.67,374,10,26718,0.728059735
35.03,15,27,27661,0.703120278
27.43,87,24,31861,0.610388563
33.9,33,17,24845,0.782681425
39.77,12,31,30664,0.634051657
26.03,338,7,24745,0.785714286
38.47,74,18,26833,0.724555212
53.97,44,17,27368,0.710373794
31.63,39,13,23655,0.821787783
16.27,27,13,25075,0.775178863
70.57,33,24,28817,0.674457785
28.73,14,25,28672,0.677851911
55.53,8,17,24925,0.779721565
91.17,312,26,27352,0.710511114
55.23,13,21,25699,0.756203354
67.1,88,6,26734,0.726893843
24.5,250,19,27062,0.718071466
104.53,20,29,33371,0.582278026
34.67,64,16,26957,0.720803873
56.87,21,19,25721,0.755408032
65.67,58,16,25993,0.747493171
31.13,21,15,21032,0.923757607
62.63,159,18,25926,0.749355859
82.57,104,10,28229,0.688162528
89,376,28,27214,0.713785184
80.93,83,4,32508,0.5975
69.03,60,22,33693,0.576471671
70.97,438,23,29371,0.661283239
94.23,69,24,25479,0.762277562
78.33,9,20,28520,0.680997195
26.67,7,23,28453,0.682574772
23.73,91,26,22954,0.845931864
91.5,92,30,28673,0.677158302
56.67,3,24,27248,0.71255138
79.5,17,15,27133,0.715561125
22.27,212,23,22799,0.851540857
93.6,94,12,28075,0.691384506
66.1,81,24,29906,0.649035645
18.77,101,12,28513,0.680715112
31.4,231,11,24149,0.803653567
21.13,13,19,24028,0.807692276
86.8,2,22,25228,0.769234184
82.87,78,26,34245,0.566670755
38.9,63,23,28859,0.672384005
58.97,39,37,27404,0.707983871
74.3,73,28,36931,0.525336438
99.33,22,15,31111,0.623550191
44.07,149,12,24660,0.786666667
44.43,21,32,22087,0.878275909
97.13,146,16,28941,0.670273315
88.63,41,24,27560,0.703786284
22.6,23,31,26434,0.733484906
73.77,123,24,24112,0.804075979
92.23,11,15,27833,0.696555168
105.03,156,12,24867,0.779600273
91.27,16,12,24668,0.785816848
19.7,3,9,25498,0.760139619
39.67,508,7,29727,0.65198641
73.37,8,21,24162,0.802074745
41.93,122,14,24741,0.783233903
14.27,66,17,30634,0.632480251
83.67,94,20,24366,0.795125174
78.73,130,20,30897,0.627009095
32.67,134,18,28784,0.672943649
81.2,46,17,31730,0.610353924
31.97,9,27,25667,0.754373709
69.43,33,19,25449,0.760816928
84.27,8,18,32918,0.588185795
30.03,6,22,27837,0.69547832
19.87,30,18,35322,0.548071457
62.93,15,24,24043,0.805165745
59.8,234,25,23134,0.836793464
100.77,15,25,22753,0.850792423
81.73,103,18,18833,1.027833059
80.17,21,16,27905,0.693655617
29.77,66,18,29156,0.66388222
102.6,2,29,31754,0.609537696
80.83,11,20,23497,0.823645572
22,16,24,31219,0.619876037
105.17,30,10,13863,1.395930174
24.77,1,26,26968,0.717551913
39.33,58,18,27971,0.6917654
20,4,27,23424,0.826029713
24.57,85,19,27891,0.693730236
48.63,14,11,27889,0.693766718
26.13,40,6,29362,0.658844084
54.87,334,10,25950,0.745468208
109.6,7,21,29995,0.644899817
113.53,489,4,23723,0.815326898
57.63,9,21,27300,0.708474359
22.37,431,26,27114,0.713271742
32.37,4,25,23988,0.806186843
31.8,4,24,28405,0.68076395
65.67,35,18,29583,0.653589224
50.03,157,21,27359,0.706708213
16.23,68,14,24428,0.791501146
102.6,30,17,27148,0.712179903
82.73,22,17,30883,0.626040864
90.23,67,20,31024,0.623132414
28.93,4,20,24424,0.791512037
21.27,552,4,27304,0.707991503
42.27,35,15,27656,0.698972736
51.1,24,14,27492,0.703105994
91.37,23,22,28350,0.681772134
30.07,79,18,16433,1.176127913
63.43,105,12,28193,0.685513071
43.2,669,2,24464,0.79
82.07,122,7,14474,1.335255631
31.63,125,22,22964,0.841481885
87.57,32,28,31231,0.618664148
40.63,39,26,30638,0.630531366
49.93,65,19,21587,0.894835781
72.63,4,14,24795,0.77886953
39.37,1,31,29122,0.663098002
65.1,9,29,21813,0.885253748
41.73,15,53,30740,0.628113208
32.83,23,16,23902,0.807784286
63.63,14,30,30567,0.631575228
84.5,7,27,24957,0.773532877
53.13,23,21,26680,0.723521739
64.77,1,14,27275,0.707691659
23.53,344,10,20980,0.92
68.5,429,16,31169,0.619229042
48.17,10,24,25730,0.750056743
40.8,44,16,23478,0.821921373
82.13,7,17,28200,0.684268085
77.67,75,24,26024,0.741388718
15.53,105,19,23309,0.827718478
94.1,22,10,32408,0.59529684
37.07,462,5,24822,0.777221819
25.47,322,21,22919,0.841618308
47.3,30,21,31495,0.612394666
72,69,18,22940,0.840765039
106.6,29,14,25830,0.746689895
31.27,33,55,19570,0.985272356
34.77,10,14,21957,0.87804527
43,23,14,26182,0.736305859
23.93,158,17,27570,0.699223794
97.23,26,14,18288,1.054085739
24.5,62,14,21874,0.881212855
38.4,41,24,27016,0.713453879
73.1,3,40,26101,0.738449868
85.87,2,24,25975,0.741980366
20.63,27,19,25605,0.752652216
68.3,84,13,23471,0.82104725
43.47,88,14,25781,0.747236725
23,2,23,27051,0.712093083
14.87,13,17,27799,0.692884636
44.8,221,17,26170,0.736
65.4,36,18,26468,0.727705153
17.07,311,5,20810,0.925480538
22.57,450,3,25659,0.750549515
43.17,2,34,30042,0.641039212
32.8,172,24,28212,0.682620516
25.43,22,14,26176,0.735657855
75.4,222,9,18388,1.047234066
84.33,104,25,25347,0.75962323
113.6,37,15,25737,0.748045227
44.47,142,19,30494,0.631346166
111.33,19,43,24479,0.78636995
89.8,159,20,26668,0.721728664
73.67,119,18,27197,0.707612604
71.03,159,16,21634,0.889567348
75.77,9,22,30236,0.636474071
28.47,152,31,23438,0.821050858
32.4,114,14,33665,0.57162216
97.43,274,22,26522,0.725559913
83,26,16,28024,0.686626106
46.83,1,21,26133,0.736286687
31.6,78,21,30869,0.623294567
55.5,72,28,28901,0.665737172
32.4,237,20,27395,0.702312101
40.9,23,31,28646,0.671560776
41.87,67,28,26116,0.73647266
42.53,546,4,25368,0.758073163
54.63,153,17,26273,0.731833822
25.6,36,20,31885,0.603021483
71.27,242,11,13163,1.460613082
89.33,69,28,27650,0.695314286
27.27,24,9,25360,0.758018139
15.87,187,11,24832,0.774126933
28.3,176,19,21641,0.888119773
12.87,1,17,26274,0.731445916
67.83,8,23,27535,0.697936808
52.4,14,18,31766,0.604958761
25.8,73,31,31470,0.610627264
40.83,106,20,28298,0.679071312
32.87,8,20,22994,0.835675828
22.33,202,11,28933,0.66408772
46.13,179,21,48474,0.396374758
73.7,156,17,24930,0.770697954
75.33,11,19,25524,0.752757013
78.07,44,21,22527,0.852892085
77.47,13,31,30125,0.637750705
89.7,123,20,25842,0.743420788
45.37,35,16,22761,0.844039366
94.43,31,12,27370,0.701830471
67.7,4,24,26428,0.726749659
40.43,233,19,26438,0.726298131
23.33,49,17,35490,0.540998873
19.57,41,24,31357,0.612272539
93.77,140,17,30979,0.61973595
73.73,16,36,21994,0.872885787
12.43,16,10,30626,0.626817084
20.5,14,18,29713,0.646074109
102.6,11,24,24842,0.772661219
100.17,5,15,30134,0.636969868
73.67,26,19,24080,0.79707309
79.87,22,17,31103,0.617088705
97.53,177,3,25560,0.75085759
75.87,15,24,22573,0.850208213
74.77,138,10,24304,0.789639566
83.07,37,37,36397,0.527168997
54.17,65,17,24501,0.783110893
28.53,13,21,37125,0.516749899
28.13,368,7,19894,0.964285714
12.47,6,12,31709,0.604893879
40.3,106,28,29786,0.643899147
39.53,65,16,25125,0.76328597
23.27,21,18,23237,0.825243362
94.2,27,19,24685,0.776731213
106.03,22,28,25546,0.7505128
29.3,69,18,26306,0.728793051
32.57,197,15,37016,0.517863086
19.1,155,12,18056,1.061644883
16,114,18,54252,0.353298127
97.47,65,11,29898,0.641019132
52.4,99,21,30708,0.623941644
58.57,9,10,27930,0.686
80.57,64,13,24502,0.781964329
31.83,103,14,28091,0.682037663
27,4,21,22707,0.843727045
17.97,37,11,30710,0.623813416
30.9,109,16,20684,0.926039934
28.43,5,21,20560,0.931559339
13.1,76,15,23611,0.811060946
72.7,18,26,30618,0.62540695
32.83,27,20,18401,1.040626596
75.97,3,20,32804,0.583642239
51.23,132,15,29443,0.650201746
19.27,15,25,33408,0.573023827
63.63,40,24,23965,0.798778218
75,70,18,31466,0.608308651
36.97,197,15,26205,0.73043465
74.77,65,7,26697,0.716892909
22.57,75,7,13004,1.471610274
50.57,126,23,28895,0.662278249
42.23,32,16,30971,0.617841206
29.13,6,21,28077,0.681514051
22.83,157,19,26007,0.735700004
76.03,80,19,27795,0.688342508
14.83,46,15,25525,0.749468364
93.6,67,19,27021,0.707969727
21.53,422,5,24529,0.779868727
25.47,25,14,25141,0.760871485
32.1,1,36,27399,0.698163802
24.43,32,20,31830,0.600964499
40.93,7,23,32554,0.58751367
60.13,43,16,28568,0.669473887
29.03,183,8,21219,0.901263962
41.93,201,10,18062,1.058742664
23.63,497,16,28571,0.66931504
15.23,9,16,32109,0.595562615
53.03,285,12,16581,1.153241662
67.57,51,13,28140,0.6794371
60.73,11,17,30108,0.635007971
25.77,43,33,21341,0.895823064
16.87,6,19,25779,0.74156484
45,327,20,29893,0.639450708
21.8,21,12,23729,0.805438493
13.33,90,19,23546,0.811628727
64.63,89,13,23846,0.801388493
80.3,130,20,29855,0.640075699
30.97,11,15,20431,0.935009544
31.77,87,13,22522,0.848179114
27.4,219,16,26029,0.733889892
98.1,40,15,22579,0.845883343
44.47,38,25,39352,0.485331368
46.7,125,22,33263,0.574158374
79.87,99,18,32064,0.595591317
34.03,2,31,21187,0.901355076
48.33,21,13,36702,0.520321508
26.9,5,24,25500,0.748765098
17.3,163,16,24599,0.776168137
19.77,24,23,28064,0.68027366
18.57,3,24,31487,0.606289262
58.07,38,18,20360,0.937531434
112.5,4,24,34676,0.550411524
88.93,149,17,22938,0.832044642
37.7,18,19,34075,0.560054292
36.17,194,20,27775,0.687025743
56.03,75,15,32833,0.581167118
75.9,14,14,29241,0.652554974
102.13,19,16,21865,0.872657215
75.77,76,23,35311,0.540347201
83.67,21,12,19174,0.995071972
87.83,8,45,24015,0.794447637
98.13,31,31,38602,0.494220507
98.73,2,18,28819,0.661881051
63.27,6,18,29018,0.657250327
47.03,314,14,12714,1.5
19.07,44,25,25989,0.733683866
28.73,129,29,20786,0.91732849
27.77,91,16,23234,0.820553069
105.7,27,18,34326,0.555400571
73.73,18,19,24584,0.775440937
42.27,17,20,22204,0.858558818
48.53,244,14,21163,0.900719652
18.43,438,5,27193,0.700943257
31.67,105,23,37007,0.514969871
79.47,21,31,27755,0.686600252
22.73,675,4,17780,1.071698538
99.3,153,16,26866,0.709250354
108.57,168,13,23251,0.819482603
17.33,42,20,32551,0.585254216
78.67,4,31,24560,0.775610342
112.63,75,19,26245,0.72567651
53.03,45,17,27620,0.689530413
97.3,19,24,23092,0.824670016
24.2,56,11,14745,1.291498813
21.07,130,19,31309,0.608210419
69.93,14,30,23696,0.803587103
87.1,5,12,24877,0.765341078
41.83,400,12,23796,0.8
71.7,12,51,24696,0.770751539
24.47,152,14,24757,0.768843559
25.3,370,15,26252,0.72504952
38.63,13,15,24413,0.779645271
23.73,139,16,23537,0.808619195
74.37,36,18,31529,0.603568461
78.77,38,24,30144,0.631291468
28.5,119,17,30632,0.621202664
23.6,144,24,22773,0.835553945
17.83,1,23,29943,0.635458371
46.43,24,20,26726,0.711904138
48.9,49,13,24156,0.787628333
20.3,81,8,25840,0.73625
17.47,84,25,31146,0.610799461
18.5,104,11,29587,0.642981039
19.8,1,19,26938,0.706176405
46.27,114,26,24500,0.776427755
50.3,58,13,26825,0.709115005
49.8,13,15,23999,0.792582191
16.9,113,29,34791,0.546697422
112.53,94,17,20747,0.916762423
49.17,56,20,25426,0.747978841
27.7,15,14,21890,0.868744175
48.67,56,14,23060,0.824640069
23.1,84,17,27265,0.697280396
111.8,158,21,26492,0.71760607
55.77,34,25,27973,0.679533121
71.73,334,3,18520,1.026329374
95.87,36,18,28401,0.669245449
48.13,347,3,18405,1.032699267
41.93,77,17,30769,0.617682083
17.07,39,14,27536,0.690179038
17.73,86,9,23787,0.798888889
45.13,78,21,31567,0.601964076
29.73,18,19,28835,0.658995665
72.1,13,20,27959,0.679606209
52.17,21,20,26535,0.716063689
61.13,11,29,21720,0.874797422
63.07,77,24,28482,0.666956323
44.77,16,15,25116,0.756209189
20.53,16,19,23909,0.794251119
27.17,16,23,23476,0.808884819
56.8,27,20,29641,0.640620087
83,4,25,24128,0.78695126
62,12,11,13705,1.385316308
24.1,3,33,24739,0.767316787
17.93,330,17,28807,0.658957892
27.8,39,20,25659,0.739745119
32.4,182,15,24555,0.772953777
87.17,78,24,22463,0.844935227
23.77,48,14,23741,0.79940567
85.43,3,31,25193,0.753177073
56.4,1,33,28592,0.663570229
68.9,247,11,18017,1.053047677
74.2,9,23,24099,0.787279555
25.5,9,23,28955,0.655240891
80.5,9,17,27391,0.692614362
102.53,95,15,22221,0.853756357
106.5,16,19,23542,0.805806643
99.93,11,25,23628,0.802750127
101.93,15,17,29051,0.652885959
14.53,82,13,32215,0.588731336
36.8,71,13,22437,0.845294826
27.13,48,25,29425,0.644543755
88.63,137,17,24781,0.765285501
81.53,96,19,18494,1.025394723
98.77,15,26,26104,0.726460313
49.7,39,26,28821,0.657968495
32.57,4,26,35117,0.539970669
28.4,6,9,26135,0.72550794
31.77,23,30,24575,0.77153001
55.6,10,18,28865,0.656859518
15.07,444,2,24464,0.775
36.5,580,2,24464,0.775
12.7,26,10,36338,0.521724366
15,3,5,33686,0.562726949
81.47,76,15,20154,0.940540836
40.63,37,30,23818,0.795849358
49.7,28,20,28982,0.654043544
89.27,42,18,24039,0.788450019
100.13,1,28,25346,0.747769273
28.8,48,13,24294,0.779967893
82.17,144,11,21095,0.898235127
80.83,17,18,34867,0.543373677
52.43,116,20,22912,0.826891149
15.5,25,19,27156,0.697622625
76.87,136,15,24362,0.777595436
46.8,8,6,26307,0.720087809
49.67,32,22,30219,0.626861908
42.17,43,23,24069,0.786982841
29.67,17,32,30499,0.62095413
88.4,39,30,27321,0.693138611
80,44,12,31238,0.606164607
33.67,2,34,29625,0.639156456
33.33,108,17,26093,0.725549764
35.23,12,23,23158,0.817396148
24.47,1,14,18312,1.033571429
107.47,60,15,25001,0.75701092
53.7,36,19,28856,0.65585944
27.8,370,18,21802,0.867924961
20.87,18,19,27140,0.697142225
27.07,329,7,15215,1.243522839
29,48,11,15511,1.219774998
87.3,17,21,29555,0.640126882
41.53,191,15,27465,0.688834881
39.03,68,30,30860,0.613045366
26.1,188,16,21698,0.871845792
47.9,52,24,31791,0.594951087
45.83,113,22,38468,0.491669959
45.47,32,9,27256,0.693877311
56.2,88,18,25713,0.735509664
16.13,106,14,24785,0.7630349
62.6,34,19,27329,0.691985803
104.17,2,11,28429,0.665184495
68.47,5,26,25477,0.742128979
44.9,5,22,28994,0.652008002
85.8,69,17,23116,0.817760426
75.5,42,22,38142,0.495555818
56.83,33,13,20228,0.934386988
20.4,2,20,24531,0.770352207
34.1,36,21,30480,0.619987861
14.9,25,19,15072,1.253707537
34.9,164,18,25302,0.746808948
17.9,190,9,13632,1.386092283
97.6,18,9,15796,1.195947075
21.1,23,22,28159,0.670774885
104.63,2,12,18578,1.016614275
14.57,71,16,26358,0.716513772
96.63,31,9,26618,0.709505598
23.2,44,18,25643,0.736298405
16.97,6,30,22185,0.851037187
53.1,164,25,21787,0.866474962
37.07,16,17,21943,0.860251105
